Model vae

{'model': 'VAE_ResNet', 'filename': 'vae', 'num_workers': 4, 'loss_fn': 'fixed decoder variance', 'learn_dec_logvar': False, 'input_dim': 196608, 'input_channels': 3, 'latent_dim': 64, 'out_activation': 'sigmoid', 'dropout': 0.2, 'weight_init': 'normal_init', 'conv1_out_channels': 8, 'latent_conv1_out_channels': 1024, 'kernel_size': 3, 'num_scale_blocks': 6, 'block_per_scale': 1, 'depth_per_block': 2, 'fc_dim': 1024, 'image_size': 256, 'batch_size': 12, 'snapshot': 100, 'console_print': 1, 'beta_min': 0, 'beta_max': 3, 'beta_steps': 100, 'kl_anneal': True, 'gamma_warmup': 0, 'gamma_min': 1, 'gamma_max': 3, 'gamma_steps': 100, 'gamma_anneal': True, 'min_dist_samples': 18, 'weight_dist_loss': 40, 'distance_type': '1', 'epochs': 55, 'lr_schedule': [], 'optim_type': 'Adam', 'random_seed': 1201, 'exp_dir': './models/VAE_ShirtFolding_L1', 'device': device(type='cuda'), 'num_parameters': 21207146}

*- Model path: ./models/VAE_ShirtFolding_L1/vae_model.pt
*- Training dataset: hardcode
*- Number of training examples: 3200
*- Model parameters/Training examples ratio: 6627.233125
*- Number of testing examples: 1600
*- Learning rate schedule: []
*- Train/validation model_loss:
   Epoch 16 180929.63/181080.12
   Epoch 17 180909.78/181033.50
   Epoch 18 180902.62/180960.21
   Epoch 19 180902.74/180944.38
   Epoch 20 180854.52/180923.91
   Epoch 21 180845.67/180951.02
   Epoch 22 180843.68/180955.08
   Epoch 23 180844.05/180920.02
   Epoch 24 180839.06/180905.69
   Epoch 25 180837.85/180952.77
   Epoch 26 180834.57/180921.14
   Epoch 27 180832.82/180951.01
   Epoch 28 180828.60/180922.32
   Epoch 29 180824.67/180847.08
   Epoch 30 180827.55/180981.09
   Epoch 31 180824.35/180866.66
   Epoch 32 180820.41/180876.31
   Epoch 33 180817.86/180876.21
   Epoch 34 180815.35/180927.94
   Epoch 35 180813.54/180921.47
   Epoch 36 180811.45/180855.66
   Epoch 37 180814.84/180871.30
   Epoch 38 180807.14/180889.86
   Epoch 39 180806.66/180829.97
   Epoch 40 180807.51/180852.04
   Epoch 41 180804.75/180841.71
   Epoch 42 180806.71/180918.99
   Epoch 43 180801.01/180874.06
   Epoch 44 180799.83/180828.73
   Epoch 45 180799.57/180840.84
   Epoch 46 180799.75/180872.68
   Epoch 47 180799.01/180877.78
   Epoch 48 180796.98/180833.41
   Epoch 49 180795.75/180888.94
   Epoch 50 180796.98/180791.24
   Epoch 51 180794.52/180809.90
   Epoch 52 180793.08/180863.06
   Epoch 53 180792.68/180791.85
   Epoch 54 180793.29/180854.62
*- Train/validation pure_kl_loss:
   Epoch 0 205.67/125.81
   Epoch 1 165.02/171.29
   Epoch 2 181.94/161.38
   Epoch 3 184.28/181.30
   Epoch 4 192.12/183.28
   Epoch 5 195.58/193.77
   Epoch 6 193.10/182.66
   Epoch 7 195.39/192.65
   Epoch 8 194.44/184.13
   Epoch 9 192.00/190.51
   Epoch 10 192.57/187.14
   Epoch 11 189.03/186.04
   Epoch 12 188.69/172.15
   Epoch 13 186.24/180.64
   Epoch 14 184.01/190.62
   Epoch 15 182.19/179.02
   Epoch 16 179.61/173.68
   Epoch 17 178.18/178.18
   Epoch 18 175.69/178.40
   Epoch 19 173.99/165.88
   Epoch 20 174.06/170.41
   Epoch 21 173.48/169.15
   Epoch 22 172.89/166.25
   Epoch 23 170.12/168.13
   Epoch 24 168.83/171.94
   Epoch 25 167.55/163.30
   Epoch 26 165.41/165.26
   Epoch 27 163.86/167.72
   Epoch 28 163.94/152.68
   Epoch 29 160.95/159.58
   Epoch 30 160.02/163.25
   Epoch 31 158.69/155.85
   Epoch 32 157.84/155.17
   Epoch 33 156.59/155.56
   Epoch 34 155.49/149.97
   Epoch 35 154.50/153.22
   Epoch 36 153.42/154.95
   Epoch 37 152.35/151.68
   Epoch 38 152.04/148.83
   Epoch 39 150.65/147.46
   Epoch 40 149.49/147.72
   Epoch 41 148.11/150.45
   Epoch 42 148.13/143.82
   Epoch 43 147.26/144.92
   Epoch 44 147.01/137.48
   Epoch 45 145.12/145.71
   Epoch 46 144.61/140.68
   Epoch 47 143.36/152.13
   Epoch 48 143.56/141.24
   Epoch 49 141.97/145.47
   Epoch 50 142.18/146.66
   Epoch 51 141.57/136.32
   Epoch 52 140.75/142.03
   Epoch 53 140.15/136.39
   Epoch 54 138.74/138.58
*- Train/validation weighted_kl_loss:
   Epoch 0 0.00/0.00
   Epoch 1 6.67/6.92
   Epoch 2 14.70/13.04
   Epoch 3 22.34/21.98
   Epoch 4 31.05/29.62
   Epoch 5 39.51/39.14
   Epoch 6 46.81/44.28
   Epoch 7 55.26/54.49
   Epoch 8 62.85/59.52
   Epoch 9 69.82/69.28
   Epoch 10 77.81/75.61
   Epoch 11 84.01/82.68
   Epoch 12 91.49/83.47
   Epoch 13 97.82/94.88
   Epoch 14 104.08/107.83
   Epoch 15 110.42/108.50
   Epoch 16 116.11/112.28
   Epoch 17 122.39/122.39
   Epoch 18 127.77/129.75
   Epoch 19 133.57/127.34
   Epoch 20 140.66/137.71
   Epoch 21 147.19/143.52
   Epoch 22 153.68/147.77
   Epoch 23 158.09/156.24
   Epoch 24 163.71/166.73
   Epoch 25 169.25/164.95
   Epoch 26 173.76/173.61
   Epoch 27 178.75/182.96
   Epoch 28 185.47/172.73
   Epoch 29 188.59/186.98
   Epoch 30 193.96/197.87
   Epoch 31 198.77/195.21
   Epoch 32 204.08/200.63
   Epoch 33 208.79/207.41
   Epoch 34 213.60/206.02
   Epoch 35 218.48/216.67
   Epoch 36 223.15/225.38
   Epoch 37 227.75/226.75
   Epoch 38 233.44/228.51
   Epoch 39 237.39/232.36
   Epoch 40 241.60/238.74
   Epoch 41 245.36/249.23
   Epoch 42 251.37/244.05
   Epoch 43 255.84/251.77
   Epoch 44 261.36/244.42
   Epoch 45 263.85/264.93
   Epoch 46 268.76/261.47
   Epoch 47 272.24/288.90
   Epoch 48 278.41/273.91
   Epoch 49 281.07/288.00
   Epoch 50 287.23/296.28
   Epoch 51 291.72/280.90
   Epoch 52 295.73/298.41
   Epoch 53 300.12/292.07
   Epoch 54 302.71/302.37
*- Train/validation pure_dist_loss:
   Epoch 0 5.79/5.50
   Epoch 1 4.76/4.34
   Epoch 2 3.75/3.61
   Epoch 3 3.31/2.91
   Epoch 4 2.87/2.61
   Epoch 5 2.44/2.57
   Epoch 6 2.26/2.29
   Epoch 7 2.04/2.04
   Epoch 8 1.90/2.16
   Epoch 9 1.85/1.87
   Epoch 10 1.71/1.88
   Epoch 11 1.70/1.78
   Epoch 12 1.61/1.78
   Epoch 13 1.58/1.63
   Epoch 14 1.58/1.56
   Epoch 15 1.55/1.63
   Epoch 16 1.55/1.64
   Epoch 17 1.52/1.58
   Epoch 18 1.52/1.49
   Epoch 19 1.53/1.63
   Epoch 20 1.45/1.52
   Epoch 21 1.42/1.47
   Epoch 22 1.41/1.54
   Epoch 23 1.43/1.49
   Epoch 24 1.45/1.43
   Epoch 25 1.45/1.56
   Epoch 26 1.48/1.48
   Epoch 27 1.49/1.49
   Epoch 28 1.48/1.70
   Epoch 29 1.51/1.58
   Epoch 30 1.54/1.53
   Epoch 31 1.55/1.64
   Epoch 32 1.56/1.63
   Epoch 33 1.57/1.64
   Epoch 34 1.59/1.70
   Epoch 35 1.60/1.63
   Epoch 36 1.62/1.62
   Epoch 37 1.63/1.65
   Epoch 38 1.63/1.71
   Epoch 39 1.66/1.76
   Epoch 40 1.68/1.75
   Epoch 41 1.69/1.70
   Epoch 42 1.70/1.81
   Epoch 43 1.71/1.77
   Epoch 44 1.71/1.93
   Epoch 45 1.75/1.77
   Epoch 46 1.74/1.85
   Epoch 47 1.79/1.70
   Epoch 48 1.77/1.85
   Epoch 49 1.81/1.76
   Epoch 50 1.80/1.81
   Epoch 51 1.82/1.95
   Epoch 52 1.84/1.82
   Epoch 53 1.83/1.99
   Epoch 54 1.87/1.92
*- Train/validation weighted_dist_loss:
   Epoch 0 231.58/220.06
   Epoch 1 194.39/176.88
   Epoch 2 155.88/150.17
   Epoch 3 140.29/123.40
   Epoch 4 123.84/112.93
   Epoch 5 107.32/113.08
   Epoch 6 101.14/102.43
   Epoch 7 93.09/93.09
   Epoch 8 88.15/100.10
   Epoch 9 87.29/88.16
   Epoch 10 81.88/90.20
   Epoch 11 82.72/86.74
   Epoch 12 80.03/88.17
   Epoch 13 79.60/82.31
   Epoch 14 80.68/79.72
   Epoch 15 80.61/84.61
   Epoch 16 81.90/86.77
   Epoch 17 81.54/84.92
   Epoch 18 82.83/80.93
   Epoch 19 84.58/89.69
   Epoch 20 81.05/85.13
   Epoch 21 80.61/83.57
   Epoch 22 81.22/88.92
   Epoch 23 83.26/86.90
   Epoch 24 85.73/84.34
   Epoch 25 87.12/93.74
   Epoch 26 89.78/90.26
   Epoch 27 91.62/91.66
   Epoch 28 92.18/106.25
   Epoch 29 95.71/100.09
   Epoch 30 98.88/98.23
   Epoch 31 100.29/106.10
   Epoch 32 102.26/107.27
   Epoch 33 104.40/109.18
   Epoch 34 107.07/114.09
   Epoch 35 108.70/111.15
   Epoch 36 111.61/111.21
   Epoch 37 113.73/114.80
   Epoch 38 115.03/120.54
   Epoch 39 118.25/125.64
   Epoch 40 121.06/125.79
   Epoch 41 123.05/124.01
   Epoch 42 125.21/133.24
   Epoch 43 127.44/131.50
   Epoch 44 128.83/145.28
   Epoch 45 132.87/134.39
   Epoch 46 133.77/142.01
   Epoch 47 138.59/131.82
   Epoch 48 138.99/145.31
   Epoch 49 143.63/139.55
   Epoch 50 144.00/144.56
   Epoch 51 147.44/157.60
   Epoch 52 149.99/148.91
   Epoch 53 150.57/164.18
   Epoch 54 155.65/159.38
*- Train/validation action_dist_mean +- std:
   Epoch 0 25.74 +- 7.08/30.75 +- 12.18
   Epoch 1 25.02 +- 9.02/29.99 +- 9.57
   Epoch 2 26.44 +- 7.94/31.98 +- 9.12
   Epoch 3 27.64 +- 8.22/27.29 +- 7.95
   Epoch 4 27.65 +- 8.23/30.86 +- 9.10
   Epoch 5 27.77 +- 8.42/31.10 +- 9.67
   Epoch 6 27.74 +- 8.24/31.17 +- 9.28
   Epoch 7 27.65 +- 8.30/30.44 +- 9.02
   Epoch 8 27.38 +- 8.19/28.98 +- 8.81
   Epoch 9 27.24 +- 8.08/29.67 +- 8.66
   Epoch 10 27.29 +- 8.23/30.59 +- 9.29
   Epoch 11 27.19 +- 8.07/28.31 +- 8.23
   Epoch 12 26.61 +- 7.73/30.22 +- 9.47
   Epoch 13 26.89 +- 7.99/29.96 +- 9.20
   Epoch 14 27.19 +- 8.04/29.70 +- 8.90
   Epoch 15 26.95 +- 8.07/29.32 +- 8.39
   Epoch 16 26.70 +- 7.74/28.07 +- 8.78
   Epoch 17 26.94 +- 7.94/29.18 +- 8.37
   Epoch 18 26.83 +- 7.86/27.61 +- 7.90
   Epoch 19 26.89 +- 7.87/28.16 +- 8.59
   Epoch 20 26.59 +- 7.84/29.67 +- 8.67
   Epoch 21 26.50 +- 7.86/28.63 +- 8.69
   Epoch 22 26.79 +- 7.80/29.60 +- 8.84
   Epoch 23 26.52 +- 7.66/28.74 +- 8.82
   Epoch 24 26.60 +- 7.89/28.82 +- 8.36
   Epoch 25 26.20 +- 7.60/29.54 +- 8.69
   Epoch 26 26.75 +- 7.76/28.34 +- 8.40
   Epoch 27 26.45 +- 7.69/28.24 +- 8.29
   Epoch 28 26.56 +- 7.74/29.33 +- 8.45
   Epoch 29 26.49 +- 7.73/28.35 +- 8.08
   Epoch 30 26.49 +- 7.59/28.82 +- 8.47
   Epoch 31 26.39 +- 7.69/29.42 +- 8.56
   Epoch 32 26.23 +- 7.57/28.80 +- 8.10
   Epoch 33 26.70 +- 7.67/28.51 +- 8.06
   Epoch 34 26.56 +- 7.67/28.61 +- 8.49
   Epoch 35 26.70 +- 7.82/27.48 +- 7.66
   Epoch 36 26.53 +- 7.58/28.72 +- 8.46
   Epoch 37 26.32 +- 7.39/27.21 +- 7.63
   Epoch 38 26.20 +- 7.50/28.58 +- 8.16
   Epoch 39 26.27 +- 7.52/28.71 +- 7.93
   Epoch 40 26.32 +- 7.49/28.21 +- 7.97
   Epoch 41 26.11 +- 7.21/28.47 +- 8.27
   Epoch 42 26.48 +- 7.39/27.13 +- 7.44
   Epoch 43 25.98 +- 7.07/27.50 +- 7.47
   Epoch 44 26.51 +- 7.31/27.45 +- 7.92
   Epoch 45 26.22 +- 7.17/28.41 +- 7.94
   Epoch 46 25.96 +- 7.07/27.16 +- 7.02
   Epoch 47 26.32 +- 7.08/28.02 +- 7.42
   Epoch 48 26.12 +- 6.98/27.97 +- 8.04
   Epoch 49 26.18 +- 7.08/27.43 +- 7.47
   Epoch 50 26.03 +- 7.05/29.23 +- 7.95
   Epoch 51 26.22 +- 7.11/27.68 +- 7.50
   Epoch 52 26.04 +- 6.86/27.26 +- 7.45
   Epoch 53 25.90 +- 6.98/27.74 +- 7.78
   Epoch 54 26.08 +- 6.93/27.03 +- 7.02
*- Train/validation no_action_dist_mean + std:
   Epoch 0 20.55 +- 3.41/19.69 +- 5.26
   Epoch 1 15.58 +- 4.28/16.21 +- 4.11
   Epoch 2 13.01 +- 3.40/13.90 +- 3.45
   Epoch 3 11.39 +- 2.85/9.94 +- 2.43
   Epoch 4 10.34 +- 2.57/10.23 +- 2.26
   Epoch 5 8.82 +- 2.07/9.87 +- 2.44
   Epoch 6 8.39 +- 1.83/8.30 +- 2.00
   Epoch 7 7.44 +- 1.64/7.58 +- 1.59
   Epoch 8 6.98 +- 1.49/8.06 +- 1.72
   Epoch 9 6.78 +- 1.40/7.04 +- 1.43
   Epoch 10 6.68 +- 1.17/7.27 +- 1.49
   Epoch 11 6.40 +- 1.13/6.86 +- 1.32
   Epoch 12 5.91 +- 1.02/6.96 +- 1.08
   Epoch 13 5.97 +- 1.01/6.39 +- 1.05
   Epoch 14 5.93 +- 0.99/6.11 +- 1.05
   Epoch 15 5.98 +- 0.87/6.27 +- 0.91
   Epoch 16 5.89 +- 0.91/6.28 +- 0.95
   Epoch 17 5.76 +- 0.83/6.03 +- 0.89
   Epoch 18 5.84 +- 0.82/5.84 +- 0.78
   Epoch 19 5.73 +- 0.79/6.40 +- 0.78
   Epoch 20 5.65 +- 0.73/5.88 +- 0.66
   Epoch 21 5.47 +- 0.61/5.78 +- 0.63
   Epoch 22 5.46 +- 0.64/6.00 +- 0.63
   Epoch 23 5.59 +- 0.59/5.63 +- 0.62
   Epoch 24 5.67 +- 0.58/5.65 +- 0.59
   Epoch 25 5.65 +- 0.59/5.94 +- 0.63
   Epoch 26 5.48 +- 0.55/5.75 +- 0.60
   Epoch 27 5.62 +- 0.55/5.73 +- 0.62
   Epoch 28 5.66 +- 0.58/6.63 +- 0.57
   Epoch 29 5.72 +- 0.54/6.16 +- 0.60
   Epoch 30 5.89 +- 0.54/6.01 +- 0.54
   Epoch 31 5.88 +- 0.58/6.40 +- 0.54
   Epoch 32 5.98 +- 0.54/6.17 +- 0.59
   Epoch 33 6.06 +- 0.51/6.36 +- 0.66
   Epoch 34 6.17 +- 0.53/6.53 +- 0.57
   Epoch 35 6.15 +- 0.56/6.26 +- 0.52
   Epoch 36 6.16 +- 0.54/6.28 +- 0.58
   Epoch 37 6.20 +- 0.56/6.53 +- 0.57
   Epoch 38 6.25 +- 0.53/6.62 +- 0.53
   Epoch 39 6.39 +- 0.56/6.94 +- 0.60
   Epoch 40 6.45 +- 0.55/6.67 +- 0.60
   Epoch 41 6.62 +- 0.53/6.55 +- 0.54
   Epoch 42 6.59 +- 0.54/7.09 +- 0.51
   Epoch 43 6.58 +- 0.52/6.63 +- 0.55
   Epoch 44 6.72 +- 0.56/7.59 +- 0.60
   Epoch 45 6.64 +- 0.55/7.01 +- 0.57
   Epoch 46 6.65 +- 0.52/7.13 +- 0.53
   Epoch 47 6.91 +- 0.55/6.41 +- 0.54
   Epoch 48 6.81 +- 0.54/7.21 +- 0.56
   Epoch 49 7.07 +- 0.58/6.84 +- 0.62
   Epoch 50 7.09 +- 0.57/7.20 +- 0.56
   Epoch 51 6.89 +- 0.56/7.60 +- 0.60
   Epoch 52 7.10 +- 0.54/6.94 +- 0.54
   Epoch 53 6.99 +- 0.55/7.84 +- 0.68
   Epoch 54 7.24 +- 0.58/7.48 +- 0.64
*- Other distances at the end of training:
{'1': {'train': [181302.58, 180847.141, 138.606, 302.413, 1.839, 153.025, 27.005, 6.94, 7.181, 0.557, 54.0], 'test': [181314.614, 180854.298, 138.607, 302.415, 1.898, 157.9, 26.91, 6.957, 7.291, 0.599, 54.0]}, '2': {'train': [182059.015, 180846.969, 138.618, 302.439, 10.933, 909.607, 3.824, 0.92, 1.152, 0.103, 54.0], 'test': [182067.332, 180853.574, 138.625, 302.456, 10.953, 911.301, 3.818, 0.94, 1.161, 0.108, 54.0]}, 'inf': {'train': [182227.449, 180847.956, 138.572, 302.339, 12.947, 1077.155, 0.89, 0.172, 0.458, 0.099, 54.0], 'test': [182233.942, 180853.975, 138.606, 302.412, 12.951, 1077.553, 0.893, 0.17, 0.455, 0.097, 54.0]}}
